"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","16-Jul-2020","       1789.90","       1792.00","       1794.70","       1750.00","       1790.00","       1787.80","       1774.16","    4230162","          7504975484.90","     154071","    1932130","         45.68"
"HDFC","EQ","17-Jul-2020","       1787.80","       1800.00","       1821.95","       1784.05","       1812.05","       1805.85","       1806.59","    4240987","          7661742109.05","     113416","    1907129","         44.97"
"HDFC","EQ","20-Jul-2020","       1805.85","       1844.00","       1844.00","       1801.00","       1804.05","       1806.05","       1816.19","    3915997","          7112184282.85","     142802","    1566257","         40.00"
"HDFC","EQ","21-Jul-2020","       1806.05","       1816.50","       1900.95","       1815.00","       1887.00","       1883.65","       1869.58","    6884035","         12870275135.15","     236947","    2441562","         35.47"
"HDFC","EQ","22-Jul-2020","       1883.65","       1895.50","       1898.95","       1851.50","       1897.70","       1881.05","       1872.11","    5538884","         10369413956.80","     199916","    2993093","         54.04"
"HDFC","EQ","23-Jul-2020","       1881.05","       1881.05","       1910.00","       1871.60","       1872.25","       1875.80","       1891.88","    3647242","          6900158053.60","     121783","    1383497","         37.93"
"HDFC","EQ","24-Jul-2020","       1875.80","       1854.00","       1857.80","       1817.00","       1841.00","       1841.30","       1834.05","    3309356","          6069531974.80","     148129","    1143925","         34.57"
"HDFC","EQ","27-Jul-2020","       1841.30","       1841.30","       1861.95","       1824.00","       1853.00","       1850.75","       1842.36","    3724639","          6862134768.10","     166745","    1718505","         46.14"
"HDFC","EQ","28-Jul-2020","       1850.75","       1859.35","       1907.00","       1844.50","       1892.00","       1897.35","       1876.95","    4346193","          8157568543.65","     175005","    2221432","         51.11"
"HDFC","EQ","29-Jul-2020","       1897.35","       1885.00","       1918.50","       1867.20","       1879.65","       1877.30","       1890.21","    7413828","         14013720596.85","     202540","    4500440","         60.70"
"HDFC","EQ","30-Jul-2020","       1877.30","       1880.00","       1900.70","       1804.00","       1804.95","       1810.65","       1848.21","    7473426","         13812489030.95","     243718","    2500083","         33.45"
"HDFC","EQ","31-Jul-2020","       1810.65","       1805.00","       1811.20","       1759.00","       1786.50","       1781.95","       1783.75","    7746014","         13816965912.60","     234358","    3017062","         38.95"
"HDFC","EQ","03-Aug-2020","       1781.95","       1781.00","       1781.95","       1730.10","       1744.00","       1739.80","       1756.06","    4648927","          8163809657.20","     199001","    2400935","         51.64"
"HDFC","EQ","04-Aug-2020","       1739.80","       1749.00","       1794.45","       1743.40","       1783.85","       1781.10","       1773.16","    4722583","          8373874927.85","     201026","    2186015","         46.29"
"HDFC","EQ","05-Aug-2020","       1781.10","       1784.40","       1811.50","       1766.25","       1780.00","       1776.70","       1787.48","    5576455","          9967784417.55","     166848","    2552512","         45.77"
"HDFC","EQ","06-Aug-2020","       1776.70","       1798.25","       1805.70","       1762.05","       1778.45","       1783.75","       1784.36","    6004624","         10714415040.60","     169297","    2640217","         43.97"
"HDFC","EQ","07-Aug-2020","       1783.75","       1774.95","       1781.80","       1763.00","       1779.90","       1777.70","       1773.89","    5129995","          9100051953.15","     146649","    3082806","         60.09"
"HDFC","EQ","10-Aug-2020","       1777.70","       1794.00","       1811.00","       1789.30","       1796.60","       1798.95","       1800.45","    3030917","          5457022247.20","     102333","    1519312","         50.13"
"HDFC","EQ","11-Aug-2020","       1798.95","       1813.00","       1846.75","       1810.50","       1829.00","       1826.75","       1834.41","    4944312","          9069914818.50","     167219","    2587133","         52.33"
"HDFC","EQ","12-Aug-2020","       1826.75","       1825.75","       1837.70","       1802.00","       1821.00","       1814.20","       1820.21","    3606317","          6564247309.35","     129657","    1935742","         53.68"
"HDFC","EQ","13-Aug-2020","       1814.20","       1818.50","       1823.65","       1799.55","       1810.00","       1804.85","       1807.52","    3769538","          6813503042.60","     129725","    2218181","         58.84"
"HDFC","W3","13-Aug-2020","        180.00","        310.20","        339.00","        299.00","        300.00","        299.95","        311.50","     984600","           306700320.00","        653","     859800","         87.32"
"HDFC","EQ","14-Aug-2020","       1804.85","       1818.60","       1823.75","       1773.25","       1793.75","       1791.70","       1796.65","    6136766","         11025637096.85","     186319","    3852136","         62.77"
"HDFC","W3","14-Aug-2020","        299.95","        300.00","        320.00","        300.00","        309.95","        309.00","        310.64","     521400","           161968230.00","        349","     503400","         96.55"
